id,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,type,size,sustaincert_id,sustaincert_url,project_developer,country,methodology,carbon_stream,poa_project_sustaincert_id
3433,VPA 1: The MomCare Project,"The proposed Component Activity under the GS-PoA is a voluntary initiative to promote dissemination of solar technology based water purification devices called “SolarSack”, also referred to as “SaWa”, under the POA titled “Sustainable Water Purification Programme”. The main objective of the VPA is to disseminate SaWa (also referred to as project unit, which is a purification technology based on the proven Solar Water Disinfection Technology (SODIS), that directly replaces non-renewable biomass (fuelwood) burning at baseline that would have been otherwise used to boil water. Thus, it is envisaged that the VPA will deliver a long-term and secure contribution to sustainable development in the country as described in the PoA.

The project activity under this VPA targets households in different villages in Manyara Region, in the host country Tanzania. Thus, the geographical boundary of the VPA is within the national boundary of Tanzania and the baseline scenario will consist of households using firewood for the purpose of boiling water. 
",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,2665,2021-08-24,2026-08-23,Energy Efficiency - Domestic,Small Scale,11412,https://platform.sustain-cert.com/public-project/2608,4Life Solutions ApS,"Tanzania, United Republic of",Other,VER,11411
3373,Kenya biomass gasification for clean cooking,"The project replaces traditional cooking methods in Kenya, mainly based on charcoal, with EcoSafi’s clean cooking system, utilizing gasification cookstoves and clean burning pellets from renewable/residual biomass. ",LISTED,Gold Standard for the Global Goals,9000,2021-06-06,2031-05-06,Energy Efficiency - Domestic,Micro scale,11352,https://platform.sustain-cert.com/public-project/2580,BETTER COOKING COMPANY LIMITED,Kenya,GS TPDDTEC v3.1,VER,
3340,Enkima stoves," This Voluntary Project Activity for the PoA ‘EcoAct Multi-country Improved Cooking and safe water in rural areas of Sub-Saharan Africa’ involves the distribution of improved cookstoves to households and construction of one boreholes in the Narok West Sub-County, Kenya. The goal of this efficient cookstove and a borehole construction project is to positively impact the lives of rural women and families in the project area and reduce the greenhouse gas emissions released by cooking activities and boiling water.",LISTED,Gold Standard for the Global Goals,60000,2022-01-01,2027-12-31,Energy Efficiency - Domestic,Small Scale,11319,https://platform.sustain-cert.com/public-project/2547,EcoAct,Kenya,GS TPDDTEC v3.1,VER,11253
3314,Improved Cookstove and Safe Water Programme – Kenya – VPA 35,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Kenya. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,60000,2021-01-01,2035-12-31,Energy Efficiency - Domestic,Small Scale,11293,https://platform.sustain-cert.com/public-project/2521,Impact Carbon,Kenya,GS Water Access and WASH Methodology v1.,VER,11189
3289,Improved Cookstove and Safe Water Programme – Nigeria – VPA 10,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,60000,2021-01-01,2025-12-31,Energy Efficiency - Domestic,Small Scale,11268,https://platform.sustain-cert.com/public-project/2496,Impact Carbon,Nigeria,GS Water Access and WASH Methodology v1.,VER,11189
3228,Shangrao Swine Farm Animal Manure Management System GHG Mitigation Project ,"Shangrao Swine Farm Animal Manure Management System GHG Mitigation Project (“the project”) introduces new animal waste management systems to a group of 9 swine farms in Shangrao City of Jiangxi Province, which are owned by Jiangxi Zhengbang Breeding Co. Ltd (hereinafter called” Zhengbang”). The purpose of the project activity is to treat the manure and wastewater from the 9 swine farms to avoid methane emissions generated in the baseline uncovered anaerobic lagoons.
The project activity will replace the current open anaerobic lagoons with 9 new closed anaerobic digesters. The biogas generated during the treatment process will be captured for power generation, the electricity generated are all used by the swine farms. After anaerobic digestion, the fermented sludge will be treated in aerobic composting system, which will be used as fertilizer. Wastewater from the new animal waste management systems will be treated aerobically and then used for agriculture irrigation. ",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,432932,2020-10-01,2025-09-30,Biogas - Electricity,Large Scale,11239,https://platform.sustain-cert.com/public-project/2467,"Profit Carbon Environmental Energy Technology (Shanghai) Co., Ltd.",China,ACM0010 GHG emission reductions from manure management systems,VER,
3201,GS1247 VPA 311 Guatemala Improved Cookstoves Project,"This project involves the distribution of improved cookstoves across Guatemala. In addition to reducing deforestation through less wood use, the project is also expected to have additional benefits for local communities, such as reduced incidences of illnesses related to indoor air pollution and smoke inhalation and less time and money spent on firewood collection",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,10000,2020-06-02,2025-06-02,Energy Efficiency - Domestic,Micro scale,11212,https://platform.sustain-cert.com/public-project/2440,CO2balance UK ltd,Guatemala,GS MS Simplified Methodology for Efficient Cookstoves v1.,VER,1247
3174,Afstor Solar Cooker,"Afstor Ltd, in Partnership with the Green Living Movement (GLM) Zambia is has been implementing the solar cooker project, in Chiyumu and Chisuwo in Monze district, Southern province of Zambia. The solar cooker project is aimed at reducing the energy burden on the rural woman, girl child and Child-headed household. ThHe use of the solar cooker will translate to more time available for women to attend to household chores and personal needs. Additionally, this will also led to an increase in household income levels especially for female headed households and a significant reduction in health related disease affecting women. Women and the girl-child in rural communities are subjected to long hours in the bush fetching firewood for cooking and heating and in most cases, they have to walk long distances. The solar cooker project will help reduce indiscriminate cutting of trees for fuel wood for cooking and heating. The project has taken an integrated approach encompassing components such as reforestation. The integration model will help communities in the project area to have access to clean energy, promote sustainable forestry management, food security and climate resilient communities. This model will help promote access to renewable energy technologies as enshrined in the National Policy on Climate Change (2016). The project beneficiaries are encouraged to participate in tree planting activities, practicing sustainable farming methods and forest resources management.
The solar cooker project will supplement government’s efforts to counter the adverse impacts
of climate change and contribute to building climate resilience in vulnerable communities by providing access to renewable sources of energy.

",LISTED,Gold Standard for the Global Goals,2000,2021-05-04,2021-12-31,Energy Efficiency - Domestic,Micro scale,11186,https://platform.sustain-cert.com/public-project/2414,AFSTOR OY,Zambia,AMS-I.K. Solar cookers for households,VER,11164
3106,GS10959 VPA08 Safe Water Project in Bangladesh II,"The project will provide safe water to people in Bangladesh through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,60000,2021-06-08,2026-06-07,Energy Efficiency - Domestic,Small Scale,11151,https://platform.sustain-cert.com/public-project/2385,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd",Bangladesh,GS TPDDTEC v3.1,VER,10959
3079,GS1247 VPA 296 - Burkina Faso Safe Water,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,10000,2021-04-03,2026-03-03,Energy Efficiency - Domestic,Micro scale,11092,https://platform.sustain-cert.com/public-project/2359,CO2balance UK ltd,Burkina Faso,GS TPDDTEC v3.1,VER,1247
3053,GS1247 VPA 284 Malawi Safe Water Project,"This project will support the provision of safe water to hundreds of people across Nkhotakota District, Malawi using borehole technology. By providing safe water, the project will ensure a reduction in the consumption of firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",LISTED,Gold Standard for the Global Goals,10000,2021-02-25,2026-02-24,Energy Efficiency - Domestic,Microscale,11065,https://platform.sustain-cert.com/public-project/2333,CO2balance UK ltd,Malawi,GS TPDDTEC v3.1,VER,1247
3022,GS7591 VPA 42 Uganda Community Safe Water Project,Water For People and CO2balance are implementing safe water supply projects in Uganda to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,LISTED,Gold Standard for the Global Goals,60000,2021-04-01,2026-04-01,Energy Efficiency - Domestic,Small Scale,11034,https://platform.sustain-cert.com/public-project/2307,CO2balance UK ltd,Uganda,GS TPDDTEC v3.1,VER,7591
2968,TASC Clean Cooking PoA,"The goal of the proposed Programme of Activities (PoA) is to distribute improved cookstoves (“ICS”) in the households/small and medium sized enterprises (SMEs) in Zambia and Zimbabwe. 
The project ICS combust biomass fuels more efficiently, reducing the greenhouse gas (GHG) and particulate matter (PM) emissions, improving indoor air quality in project households/SMEs. Due to the higher thermal efficiency of the ICS relative to the traditional/baseline stoves, the ICS reduce the amount of non-renewable biomass fuel required for meeting similar thermal energy needs. 
In the absence of the proposed PoA, inefficient traditional / 3-stone fires /charcoal pots would have been used for cooking. Thus, replacement of the baseline inefficient stoves with project ICS shall reduce non-renewable biomass fuel consumption and hence equivalent amount of GHG emissions. 
",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,398245,2020-08-25,2027-08-24,Energy Efficiency - Domestic,Large Scale,11009,https://platform.sustain-cert.com/public-project/2282,THE AFRICAN STOVE COMPANY LIMITED,Zambia,GS TPDDTEC v3.1,VER,
2943,GS5047 VPA56 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project IV,"This Micro-Scale Voluntary Project Activity under the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of domestic fuel-efficient cookstoves to households in the Muhanga District around the Busaga Natural Forest in Rwanda. The efficient cookstoves are locally produced. They will be distributed for free to users (only material for fixing the stove in the kitchen will be required as in-kind contribution), in exchange for the rights to the Voluntary Emission Reductions (VERs). The majority of families would not otherwise have access to the market for fuel-efficient cookstoves for economic reasons.",LISTED,Gold Standard for the Global Goals,8817,2021-07-01,2028-06-30,Energy Efficiency - Domestic,Microscale,10984,https://platform.sustain-cert.com/public-project/2257,Likano Project Development GmbH,Rwanda,GS TPDDTEC v3.1,VER,5047
2915,GS1340 - Efficient cookstoves in Burkina Faso – tiipaalga F3PA cookstoves in Center-South Protected Areas - VPA-22,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Center-South region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with the improved three-stone cookstoves, tiipaalga is aiming to promote the distribution of the F3PA or the 3 stones improved cookstoves around the Center-South Protected Areas. 
This micro-scale VPA is part of a group of 7 VPA’s aiming to contribute to mitigating the effects of climate change and reduce poverty among rural households by promoting the use of the F3PA improved cookstoves in two (02) rural municipalities in Nahouri province and in five (05) rural municipalities in Zoundwéogo province in the Center-South region. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,9700,2022-01-01,2031-12-31,Energy Efficiency - Domestic,Micro scale,10926,https://platform.sustain-cert.com/public-project/2230,Tiipaalga,Burkina Faso,GS MS Simplified Methodology for Efficient Cookstoves v1.,VER,1340
2890,"Up Energy Improved Cookstoves Programme, Uganda – CPA No 004 ","The CPA is located in the Republic of Uganda and involves distribution of efficient biomass fired Improved Cookstoves (ICS). The project ICS replace the low efficiency, traditional biomass fired stoves, used for meeting similar thermal energy needs in the baseline. The CPA is included under CDM PoA-9956 with reference number 9956-P1-0004-CP1.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,44980,2020-04-17,2025-04-16,Energy Efficiency - Domestic,Small Scale,10902,https://platform.sustain-cert.com/public-project/2206,UpEnergy Group,Uganda,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,VER,10898
2822,Improved Cooking Stoves in Bangladesh," The purpose of this small scale Programme of Activities (“SSC-PoA”) is the dissemination of efficient cooking stoves in Bangladesh. The Programme will promote two broad categories of Improved Cooking Stoves (“ICS”): • Domestic biomass-burning stoves • Non-domestic biomass-burning stoves ICSs disseminated under this PoA are more efficient in transferring heat from the fuel to the pot than the so called traditional stoves. During the course of the PoA, the goal of the PoA is to transform the kitchens of households in Bangladesh through the sale and distribution of ICS.. The ICS will have multiple benefits of reducing global greenhouse gas emissions, reducing pressure on forests and woody biomass resources, and also reducing indoor air pollution associated with use of traditional stoves.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,350000,2018-07-19,2025-07-18,Energy Efficiency - Domestic,Small Scale,10833,https://platform.sustain-cert.com/public-project/2178,Bangladesh Bondhu Foundation,Bangladesh,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,VER,
2760,"GS1247 VPA 263 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,Energy Efficiency - Domestic,Micro scale,10803,https://platform.sustain-cert.com/public-project/2152,CO2balance UK ltd,Malawi,GS TPDDTEC v3.1,VER,1247
2733,"GS5658 VPA 21: Access to energy for local development and women's empowerment in Cabo Delgado Province, Mozambique","The Italian NGO AVSI Foundation in collaboration with the Italian based consultancy company Carbonsink, is planning to distribute energy efficient cookstoves in the district of Balama and Montepuez, Cabo Delgado Province, Mozambique. The distribution of cookstoves started in the end of February 2020 and under this VPA is foreseen to include at least 2.000 fuel-effieicient cookstoves. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goal nro 13, the project is foreseen to provide the several local benefits in the project area.
",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,6877,2020-03-08,2025-03-07,Energy Efficiency - Domestic,Micro scale,10776,https://platform.sustain-cert.com/public-project/2126,Carbonsink (Carbonsink Group S.r.l.),Mozambique,GS TPDDTEC v3.1,VER,5658
2674,"Improved cook stoves and sustainable charcoal initiative, CPA 1","The project activity aims at reducing the fuel wood consumption and indoor air pollution of traditional stove users in West Bengal, India by disseminating Improved Cook Stoves (ICS) of the type micro gasifier stove at subsidized prices. In addition, the consumption of conventional charcoal by selected users of conventional charcoal may be reduced by providing them charcoal generated in the wood gasifier stoves as a by-product. ",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,608055,2020-06-26,2027-06-25,Energy Efficiency - Domestic,Small Scale,10716,https://platform.sustain-cert.com/public-project/2100,atmosfair gGmbH,India,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,GS CER,7776
2647,"GS5658 VPA 16: Water is Life, Madagascar  ","The project activity “Water is Life, Madagascar” is developed by Mondobimbi Veneto Onlus in collaboration with Carbonsink. The project foresees to provide safe drinking water for the local families living in the surroundings of the city of Toliara, in the Region of Atsimo-Andreafana, Madagascar. The project is addressed to supply safe drinking water for domestic use and consequently to improve the hygiene, social, economic and environmental issues related to the water consume. Moreover, verifiable CO2 emission reductions will be achieved.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-09-22,2024-09-21,Energy Efficiency - Domestic,Micro scale,10657,https://platform.sustain-cert.com/public-project/2075,Carbonsink (Carbonsink Group S.r.l.),Madagascar,GS TPDDTEC v3.1,VER,5658
2608,"10.4 MW wind power project at Tiwari site of Jodhpur district in the state of Rajasthan, India","Ramgad Minerals & Mining Limited is designed to construct 10.4 MW wind based power project (“Project”) at Malunga, Bada, Katecha & Digadi villages of Osiyan taluka, at Jodhpur district in the state of Rajasthan, India. The project activity comprises of installation and operation of 13 numbers of Wind Energy Convertors (WECs), with each WEC having a capacity of 800 kW. All WECs are connected to the NEWNE (Northern Eastern Western & North-Eastern) grid and the generated electricity is sold to Jaipur Vidyut Vitran Nigam Limited (“Jaipur Discom”) in accordance with the Power Purchase Agreement (“PPA”) for 20 years. Enercon India Limited (“Enercon”) is the equipment supplier and the operation and maintenance contractor for the project activity.
The project activity assists the sustainable growth of Rajasthan state by providing clean and green electricity to INDIAN grid. The project leads to reduce greenhouse gas emissions because it displaces electricity which would have otherwise generated from various sources dominated by fossil fuel fired power projects connected to INDIAN grid.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,18418,2019-01-01,2023-06-12,Wind,Small Scale,7763,https://platform.sustain-cert.com/public-project/1967,EKI Energy Services Limited,India,AMS-I.D. Grid connected renewable electricity generation,GS CER,
2581,Halilbeyli Biogas Plant,"Esa Biogaz Enerji Üretim A.Ş. (hereafter referred to as “Esa Biogaz”) plans investing into a new Biogas power project called Halilbeyli Biogas Plant (hereafter referred to as the “Project” or “Halilbeyli Plant”), which involves installation and operation of 6.176 MWm/6.000 MWe biogas plant. The project consists of 4 units whose capacitites can be expressed as 4x(1.544 MWm/ 1.500 MWe). The licence of the project was issued by Energy Market Regulatory Authority (EMRA) on 26/09/2019. The generated energy will be fed to the grid at Bağyurdu transmission line.",LISTED,Gold Standard for the Global Goals,128341,2019-10-25,2024-10-24,Biogas - Electricity,Small Scale,7736,https://platform.sustain-cert.com/public-project/2065,Life Iklim ve Enerji Ltd. Sti.,Turkey,GS Revised Methodology for Manure Management Systems and MSW v1.,VER,
