Country Name,ISO2,ISO3,Top Level Domain,FIPS,ISO Numeric,GeoNameID,E164,Phone Code,Continent,Capital,Time Zone in Capital,Currency,Language Codes,Languages,Area KM2,Internet Hosts,Internet Users,Phones (Mobile),Phones (Landline),GDP
Saudi Arabia,SA,SAU,sa,SA,682,102358.0,966,966,Asia,Riyadh,Asia/Riyadh,Rial,ar-SA,Arabic (official),1960582,145941.0,9774000.0,53000000.0,4800000.0,718500000000.0
Singapore,SG,SGP,sg,SN,702,1880251.0,65,65,Asia,Singapore,Asia/Singapore,Dollar,"cmn,en-SG,ms-SG,ta-SG,zh-SG","Mandarin (official) 36.3%, English (official) 29.8%, Malay (official) 11.9%, Hokkien 8.1%, Tamil (official) 4.4%, Cantonese 4.1%, Teochew 3.2%, other Indian languages 1.2%, other Chinese dialects 1.1%, other 1.1% (2010 est.)",693,1960000.0,3235000.0,8063000.0,1990000.0,295700000000.0
South Korea,KR,KOR,kr,KS,410,1835841.0,82,82,Asia,Seoul,Asia/Seoul,Won,"ko-KR,en","Korean, English (widely taught in junior high and high school)",98480,315697.0,39400000.0,53625000.0,30100000.0,1198000000000.0
Sri Lanka,LK,LKA,lk,CE,144,1227603.0,94,94,Asia,Colombo,Asia/Colombo,Rupee,"si,ta,en","Sinhala (official and national language) 74%, Tamil (national language) 18%, other 8%",65610,9552.0,1777000.0,19533000.0,2796000.0,65120000000.0
Syria,SY,SYR,sy,SY,760,163843.0,963,963,Asia,Damascus,Asia/Damascus,Pound,"ar-SY,ku,hy,arc,fr,en","Arabic (official), Kurdish, Armenian, Aramaic, Circassian (widely understood); French, English (somewhat understood)",185180,416.0,4469000.0,12928000.0,4425000.0,64700000000.0
Taiwan,TW,TWN,tw,TW,158,1668284.0,886,886,Asia,Taipei,Asia/Taipei,Dollar,"zh-TW,zh,nan,hak","Mandarin Chinese (official), Taiwanese (Min), Hakka dialects",35980,6272000.0,16147000.0,29455000.0,15998000.0,484700000000.0
Tajikistan,TJ,TJK,tj,TI,762,1220409.0,992,992,Asia,Dushanbe,Asia/Dushanbe,Somoni,"tg,ru","Tajik (official), Russian widely used in government and business",143100,6258.0,700000.0,6528000.0,393000.0,8513000000.0
Thailand,TH,THA,th,TH,764,1605651.0,66,66,Asia,Bangkok,Asia/Bangkok,Baht,"th,en","Thai (official) 90.7%, Burmese 1.3%, other 8%",514000,3399000.0,17483000.0,84075000.0,6391000.0,400900000000.0
Turkey,TR,TUR,tr,TU,792,298795.0,90,90,Asia,Ankara,Europe/Istanbul,Lira,"tr-TR,ku,diq,az,av","Turkish (official), Kurdish, other minority languages",780580,7093000.0,27233000.0,67680000.0,13860000.0,821800000000.0
Turkmenistan,TM,TKM,tm,TX,795,1218197.0,993,993,Asia,Ashgabat,Asia/Ashgabat,Manat,"tk,ru,uz","Turkmen (official) 72%, Russian 12%, Uzbek 9%, other 7%",488100,714.0,80400.0,3953000.0,575000.0,40560000000.0
United Arab Emirates,AE,ARE,ae,AE,784,290557.0,971,971,Asia,Abu Dhabi,Asia/Dubai,Dirham,"ar-AE,fa,en,hi,ur","Arabic (official), Persian, English, Hindi, Urdu",82880,337804.0,3449000.0,13775000.0,1967000.0,390000000000.0
Uzbekistan,UZ,UZB,uz,UZ,860,1512440.0,998,998,Asia,Tashkent,Asia/Tashkent,Som,"uz,ru,tg","Uzbek (official) 74.3%, Russian 14.2%, Tajik 4.4%, other 7.1%",447400,56075.0,4689000.0,20274000.0,1963000.0,55180000000.0
Vietnam,VN,VNM,vn,VM,704,1562822.0,84,84,Asia,Hanoi,Asia/Ho_Chi_Minh,Dong,"vi,en,fr,zh,km","Vietnamese (official), English (increasingly favored as a second language), some French, Chinese, and Khmer, mountain area languages (Mon-Khmer and Malayo-Polynesian)",329560,189553.0,23382000.0,134066000.0,10191000.0,170000000000.0
Yemen,YE,YEM,ye,YM,887,69543.0,967,967,Asia,Sanaa,Asia/Aden,Rial,ar-YE,Arabic (official),527970,33206.0,2349000.0,13900000.0,1100000.0,43890000000.0
